                   LOVE WAVE        MODE #  0
        T = 0.1000E+02 C =    0.1988E+01 U   = 0.7753E+00
        AL= 0.1606E+00 GAMMA= 0.6753E-03 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.181E+01  0.211E+01 -0.520E+00
    2   0.534E+00 -0.470E+00 -0.702E+00  0.923E+00  0.147E-02
    3   0.353E+00 -0.708E+00 -0.327E+00  0.532E+00  0.853E-01
    4   0.244E+00 -0.775E+00 -0.114E+00  0.291E+00  0.783E-01
    5   0.182E+00 -0.723E+00 -0.674E-01  0.181E+00  0.592E-01
    6   0.134E+00 -0.649E+00 -0.575E-01  0.115E+00  0.427E-01
    7   0.938E-01 -0.586E+00 -0.401E-01  0.677E-01  0.290E-01
    8   0.626E-01 -0.525E+00 -0.155E-01  0.334E-01  0.168E-01
    9   0.438E-01 -0.444E+00 -0.333E-02  0.171E-01  0.953E-02
   10   0.325E-01 -0.353E+00 -0.598E-03  0.965E-02  0.554E-02
   11   0.246E-01 -0.273E+00  0.119E-03  0.556E-02  0.321E-02
   12   0.188E-01 -0.208E+00  0.622E-04  0.327E-02  0.186E-02
   13   0.144E-01 -0.158E+00  0.224E-04  0.192E-02  0.108E-02
   14   0.111E-01 -0.121E+00 -0.277E-05  0.113E-02  0.627E-03
   15   0.846E-02 -0.925E-01 -0.158E-04  0.665E-03  0.365E-03
   16   0.645E-02 -0.711E-01 -0.200E-05  0.388E-03  0.213E-03
   17   0.494E-02 -0.545E-01  0.319E-06  0.226E-03  0.126E-03
   18   0.378E-02 -0.417E-01 -0.307E-05  0.133E-03  0.738E-04
   19   0.288E-02 -0.320E-01 -0.230E-05  0.774E-04  0.432E-04
   20   0.219E-02 -0.246E-01 -0.176E-05  0.452E-04  0.253E-04
   21   0.166E-02 -0.190E-01 -0.151E-05  0.264E-04  0.148E-04
   22   0.126E-02 -0.146E-01 -0.147E-05  0.154E-04  0.864E-05
   23   0.948E-03 -0.114E-01 -0.149E-05  0.895E-05  0.506E-05
   24   0.704E-03 -0.894E-02 -0.150E-05  0.520E-05  0.297E-05
   25   0.510E-03 -0.715E-02 -0.151E-05  0.303E-05  0.177E-05
   26   0.353E-03 -0.587E-02 -0.519E-06  0.156E-05  0.946E-06
   27   0.253E-03 -0.467E-02  0.234E-09  0.822E-06  0.511E-06
   28   0.191E-03 -0.352E-02  0.234E-09  0.467E-06  0.291E-06
   29   0.144E-03 -0.266E-02  0.234E-09  0.266E-06  0.165E-06
   30   0.109E-03 -0.200E-02  0.234E-09  0.151E-06  0.939E-07
   31   0.819E-04 -0.151E-02  0.234E-09  0.858E-07  0.534E-07
   32   0.618E-04 -0.114E-02  0.234E-09  0.488E-07  0.304E-07
   33   0.466E-04 -0.857E-03  0.234E-09  0.277E-07  0.173E-07
   34   0.352E-04 -0.645E-03  0.193E-09  0.158E-07  0.981E-08
   35   0.266E-04 -0.486E-03  0.108E-09  0.898E-08  0.558E-08
   36   0.201E-04 -0.366E-03  0.567E-10  0.512E-08  0.317E-08
   37   0.152E-04 -0.275E-03  0.314E-10  0.291E-08  0.180E-08
   38   0.114E-04 -0.207E-03  0.135E-10  0.166E-08  0.103E-08
   39   0.865E-05 -0.156E-03  0.537E-11  0.946E-09  0.584E-09
   40   0.653E-05 -0.118E-03  0.000E+00  0.539E-09  0.332E-09
   41   0.493E-05 -0.888E-04  0.000E+00  0.712E-09  0.439E-09
