                   LOVE WAVE        MODE #  0
        T = 0.5000E+01 C =    0.7914E+00 U   = 0.4854E+00
        AL= 0.1448E+01 GAMMA= 0.2157E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.490E+00  0.192E+01 -0.388E-01
    2   0.175E+00 -0.758E+00 -0.110E-01  0.117E+00  0.258E-01
    3   0.309E-01 -0.309E+00 -0.442E-03  0.533E-02  0.180E-02
    4   0.537E-02 -0.965E-01 -0.697E-05  0.214E-03  0.940E-04
    5   0.111E-02 -0.239E-01 -0.125E-06  0.996E-05  0.474E-05
    6   0.239E-03 -0.551E-02 -0.161E-07  0.482E-06  0.235E-06
    7   0.485E-04 -0.133E-02 -0.168E-08  0.218E-07  0.114E-07
    8   0.867E-05 -0.346E-03 -0.632E-10  0.856E-09  0.506E-09
    9   0.158E-05 -0.859E-04 -0.108E-11  0.337E-10  0.218E-10
   10   0.316E-06 -0.194E-04 -0.214E-13  0.145E-11  0.963E-12
   11   0.653E-07 -0.422E-05  0.119E-15  0.637E-13  0.427E-13
   12   0.139E-07 -0.891E-06  0.655E-17  0.288E-14  0.191E-14
   13   0.295E-08 -0.188E-06  0.320E-18  0.130E-15  0.852E-16
   14   0.629E-09 -0.397E-07  0.110E-19  0.589E-17  0.382E-17
   15   0.134E-09 -0.840E-08 -0.113E-20  0.267E-18  0.171E-18
   16   0.282E-10 -0.180E-08 -0.104E-22  0.119E-19  0.766E-20
   17   0.597E-11 -0.382E-09  0.162E-23  0.536E-21  0.346E-21
   18   0.127E-11 -0.805E-10 -0.296E-25  0.242E-22  0.157E-22
   19   0.270E-12 -0.171E-10 -0.158E-26  0.109E-23  0.704E-24
   20   0.570E-13 -0.364E-11 -0.548E-28  0.488E-25  0.316E-25
   21   0.121E-13 -0.774E-12 -0.715E-30  0.219E-26  0.142E-26
   22   0.256E-14 -0.164E-12  0.198E-31  0.986E-28  0.638E-28
   23   0.543E-15 -0.348E-13  0.347E-33  0.444E-29  0.287E-29
   24   0.115E-15 -0.738E-14 -0.530E-33  0.200E-30  0.129E-30
   25   0.243E-16 -0.157E-14 -0.609E-33  0.899E-32  0.581E-32
   26   0.454E-17 -0.373E-15 -0.239E-34  0.363E-33  0.242E-33
   27   0.854E-18 -0.871E-16  0.000E+00  0.146E-34  0.101E-34
   28   0.179E-18 -0.183E-16  0.000E+00  0.000E+00  0.000E+00
   29   0.376E-19 -0.384E-17  0.000E+00  0.000E+00  0.000E+00
   30   0.790E-20 -0.806E-18  0.000E+00  0.000E+00  0.000E+00
   31   0.166E-20 -0.169E-18  0.000E+00  0.000E+00  0.000E+00
   32   0.348E-21 -0.355E-19  0.000E+00  0.000E+00  0.000E+00
   33   0.731E-22 -0.745E-20  0.000E+00  0.000E+00  0.000E+00
   34   0.154E-22 -0.156E-20  0.000E+00  0.000E+00  0.000E+00
   35   0.323E-23 -0.328E-21  0.000E+00  0.000E+00  0.000E+00
   36   0.679E-24 -0.687E-22  0.000E+00  0.000E+00  0.000E+00
   37   0.143E-24 -0.144E-22  0.000E+00  0.000E+00  0.000E+00
   38   0.300E-25 -0.302E-23  0.000E+00  0.000E+00  0.000E+00
   39   0.632E-26 -0.633E-24  0.000E+00  0.000E+00  0.000E+00
   40   0.133E-26 -0.133E-24  0.000E+00  0.000E+00  0.000E+00
   41   0.279E-27 -0.279E-25  0.000E+00  0.000E+00  0.000E+00
