                      RAYLEIGH WAVE      MODE #  0
        T = 0.5750E+01 C =    0.1573E+01 U   = 0.8779E+00
        AR= 0.3782E-01 GAMMA= 0.9473E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.282E+01  0.000E+00  0.100E+01  0.000E+00 -0.116E+01  0.846E-01  0.333E+01 -0.134E+00
    2  -0.756E+00  0.215E+01 -0.175E+00  0.291E+00 -0.474E-01  0.525E-01  0.238E+00  0.589E-01
    3  -0.183E+00  0.569E+00 -0.292E+00  0.187E+01 -0.234E-01  0.266E-01 -0.716E-02  0.485E-02
    4  -0.212E-01 -0.748E+00 -0.231E+00  0.248E+01 -0.114E-01  0.871E-02  0.130E-01  0.744E-02
    5   0.295E-01 -0.121E+01 -0.163E+00  0.233E+01 -0.626E-02  0.271E-02  0.187E-01  0.890E-02
    6   0.392E-01 -0.112E+01 -0.105E+00  0.189E+01 -0.492E-02  0.108E-02  0.134E-01  0.664E-02
    7   0.294E-01 -0.898E+00 -0.595E-01  0.143E+01 -0.286E-02  0.454E-03  0.636E-02  0.350E-02
    8   0.158E-01 -0.700E+00 -0.305E-01  0.102E+01 -0.758E-03  0.108E-03  0.210E-02  0.129E-02
    9   0.849E-02 -0.511E+00 -0.163E-01  0.677E+00 -0.105E-03  0.196E-04  0.676E-03  0.439E-03
   10   0.520E-02 -0.343E+00 -0.935E-02  0.426E+00 -0.142E-04  0.434E-05  0.248E-03  0.163E-03
   11   0.324E-02 -0.218E+00 -0.546E-02  0.259E+00  0.104E-05  0.926E-06  0.911E-04  0.597E-04
   12   0.204E-02 -0.133E+00 -0.321E-02  0.153E+00  0.406E-06  0.227E-06  0.337E-04  0.218E-04
   13   0.125E-02 -0.791E-01 -0.187E-02  0.898E-01  0.121E-06  0.563E-07  0.120E-04  0.767E-05
   14   0.756E-03 -0.465E-01 -0.108E-02  0.520E-01  0.103E-07  0.144E-07  0.419E-05  0.264E-05
   15   0.447E-03 -0.270E-01 -0.615E-03  0.300E-01 -0.226E-07  0.404E-08  0.142E-05  0.886E-06
   16   0.257E-03 -0.157E-01 -0.347E-03  0.171E-01 -0.384E-09  0.961E-09  0.466E-06  0.290E-06
   17   0.148E-03 -0.898E-02 -0.196E-03  0.969E-02  0.140E-08  0.237E-09  0.151E-06  0.948E-07
   18   0.851E-04 -0.507E-02 -0.110E-03  0.545E-02 -0.307E-09  0.708E-10  0.488E-07  0.307E-07
   19   0.480E-04 -0.286E-02 -0.612E-04  0.306E-02 -0.102E-09  0.186E-10  0.154E-07  0.969E-08
   20   0.269E-04 -0.161E-02 -0.339E-04  0.171E-02 -0.239E-10  0.481E-11  0.480E-08  0.303E-08
   21   0.151E-04 -0.898E-03 -0.187E-04  0.949E-03 -0.483E-11  0.123E-11  0.149E-08  0.937E-09
   22   0.840E-05 -0.498E-03 -0.103E-04  0.527E-03 -0.306E-11  0.329E-12  0.458E-09  0.288E-09
   23   0.469E-05 -0.274E-03 -0.561E-05  0.293E-03 -0.338E-11  0.105E-12  0.140E-09  0.883E-10
   24   0.261E-05 -0.150E-03 -0.301E-05  0.164E-03 -0.348E-11  0.517E-13  0.426E-10  0.269E-10
   25   0.142E-05 -0.820E-04 -0.154E-05  0.938E-04 -0.354E-11  0.594E-13  0.128E-10  0.819E-11
   26   0.650E-06 -0.487E-04 -0.730E-06  0.539E-04 -0.708E-12  0.106E-13  0.317E-11  0.209E-11
   27   0.305E-06 -0.285E-04 -0.363E-06  0.300E-04  0.119E-17  0.498E-15  0.787E-12  0.531E-12
   28   0.166E-06 -0.155E-04 -0.196E-06  0.162E-04  0.119E-17  0.128E-15  0.231E-12  0.156E-12
   29   0.898E-07 -0.838E-05 -0.106E-06  0.874E-05  0.119E-17  0.329E-16  0.676E-13  0.457E-13
   30   0.485E-07 -0.452E-05 -0.567E-07  0.471E-05  0.119E-17  0.845E-17  0.197E-13  0.133E-13
   31   0.262E-07 -0.244E-05 -0.305E-07  0.253E-05  0.119E-17  0.217E-17  0.571E-14  0.385E-14
   32   0.141E-07 -0.131E-05 -0.163E-07  0.136E-05  0.119E-17  0.553E-18  0.165E-14  0.111E-14
   33   0.759E-08 -0.704E-06 -0.875E-08  0.727E-06  0.119E-17  0.138E-18  0.476E-15  0.321E-15
   34   0.408E-08 -0.378E-06 -0.468E-08  0.389E-06  0.711E-18  0.337E-19  0.137E-15  0.922E-16
   35   0.219E-08 -0.202E-06 -0.251E-08  0.208E-06  0.206E-18  0.853E-20  0.393E-16  0.265E-16
   36   0.118E-08 -0.108E-06 -0.134E-08  0.111E-06  0.551E-19  0.218E-20  0.112E-16  0.757E-17
   37   0.630E-09 -0.576E-07 -0.716E-09  0.590E-07  0.175E-19  0.545E-21  0.321E-17  0.216E-17
   38   0.337E-09 -0.307E-07 -0.382E-09  0.314E-07  0.406E-20  0.141E-21  0.917E-18  0.616E-18
   39   0.180E-09 -0.163E-07 -0.204E-09  0.167E-07  0.100E-20  0.362E-22  0.261E-18  0.175E-18
   40   0.963E-10 -0.869E-08 -0.108E-09  0.888E-08  0.000E+00  0.101E-22  0.742E-19  0.498E-19
   41   0.513E-10 -0.462E-08 -0.576E-10  0.472E-08  0.000E+00  0.348E-23  0.293E-19  0.196E-19
