                      RAYLEIGH WAVE      MODE #  0
        T = 0.8750E+01 C =    0.2338E+01 U   = 0.1221E+01
        AR= 0.6381E-05 GAMMA= 0.3647E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.114E+03  0.000E+00  0.100E+01  0.000E+00 -0.130E+01  0.641E-01  0.196E+01 -0.343E+00
    2  -0.534E+02  0.566E+02 -0.187E+02  0.181E+02 -0.320E+00  0.102E+00  0.500E+00  0.219E-01
    3  -0.296E+02  0.544E+02 -0.242E+02  0.601E+02 -0.148E+00  0.113E+00  0.554E-01  0.116E-01
    4  -0.162E+02  0.265E+02 -0.243E+02  0.101E+03 -0.977E-01  0.913E-01 -0.417E-01 -0.147E-02
    5  -0.830E+01 -0.848E+01 -0.225E+02  0.133E+03 -0.887E-01  0.669E-01 -0.304E-01  0.310E-02
    6  -0.341E+01 -0.357E+02 -0.197E+02  0.152E+03 -0.844E-01  0.518E-01  0.270E-02  0.199E-01
    7  -0.929E+00 -0.559E+02 -0.163E+02  0.161E+03 -0.697E-01  0.378E-01  0.248E-01  0.303E-01
    8  -0.131E-01 -0.714E+02 -0.131E+02  0.160E+03 -0.339E-01  0.193E-01  0.266E-01  0.239E-01
    9   0.644E+00 -0.828E+02 -0.109E+02  0.152E+03 -0.990E-02  0.861E-02  0.248E-01  0.175E-01
   10   0.129E+01 -0.879E+02 -0.929E+01  0.140E+03 -0.249E-02  0.433E-02  0.248E-01  0.155E-01
   11   0.170E+01 -0.866E+02 -0.794E+01  0.125E+03  0.472E-03  0.215E-02  0.231E-01  0.136E-01
   12   0.194E+01 -0.810E+02 -0.676E+01  0.110E+03  0.269E-03  0.116E-02  0.207E-01  0.118E-01
   13   0.198E+01 -0.733E+02 -0.571E+01  0.955E+02  0.786E-05  0.631E-03  0.174E-01  0.977E-02
   14   0.191E+01 -0.650E+02 -0.479E+01  0.820E+02 -0.239E-03  0.352E-03  0.139E-01  0.774E-02
   15   0.175E+01 -0.567E+02 -0.398E+01  0.697E+02 -0.410E-03  0.203E-03  0.107E-01  0.593E-02
   16   0.156E+01 -0.491E+02 -0.329E+01  0.589E+02 -0.149E-03  0.109E-03  0.787E-02  0.437E-02
   17   0.137E+01 -0.418E+02 -0.271E+01  0.494E+02 -0.100E-03  0.623E-04  0.571E-02  0.321E-02
   18   0.120E+01 -0.351E+02 -0.222E+01  0.413E+02 -0.199E-03  0.396E-04  0.410E-02  0.233E-02
   19   0.102E+01 -0.293E+02 -0.179E+01  0.344E+02 -0.172E-03  0.235E-04  0.286E-02  0.164E-02
   20   0.863E+00 -0.243E+02 -0.144E+01  0.286E+02 -0.150E-03  0.142E-04  0.197E-02  0.113E-02
   21   0.724E+00 -0.199E+02 -0.115E+01  0.237E+02 -0.138E-03  0.904E-05  0.134E-02  0.778E-03
   22   0.602E+00 -0.163E+02 -0.911E+00  0.197E+02 -0.136E-03  0.637E-05  0.907E-03  0.530E-03
   23   0.494E+00 -0.133E+02 -0.711E+00  0.164E+02 -0.137E-03  0.516E-05  0.606E-03  0.359E-03
   24   0.395E+00 -0.109E+02 -0.546E+00  0.136E+02 -0.137E-03  0.488E-05  0.400E-03  0.242E-03
   25   0.301E+00 -0.906E+01 -0.411E+00  0.113E+02 -0.138E-03  0.545E-05  0.261E-03  0.163E-03
   26   0.206E+00 -0.787E+01 -0.303E+00  0.921E+01 -0.482E-04  0.186E-05  0.139E-03  0.884E-04
   27   0.149E+00 -0.668E+01 -0.232E+00  0.741E+01  0.545E-07  0.322E-06  0.756E-04  0.481E-04
   28   0.121E+00 -0.537E+01 -0.185E+00  0.592E+01  0.545E-07  0.179E-06  0.489E-04  0.311E-04
   29   0.977E-01 -0.431E+01 -0.147E+00  0.471E+01  0.545E-07  0.993E-07  0.314E-04  0.200E-04
   30   0.786E-01 -0.345E+01 -0.116E+00  0.374E+01  0.545E-07  0.551E-07  0.201E-04  0.128E-04
   31   0.630E-01 -0.275E+01 -0.918E-01  0.297E+01  0.545E-07  0.304E-07  0.128E-04  0.815E-05
   32   0.504E-01 -0.219E+01 -0.726E-01  0.235E+01  0.545E-07  0.166E-07  0.809E-05  0.516E-05
   33   0.403E-01 -0.174E+01 -0.573E-01  0.185E+01  0.545E-07  0.899E-08  0.510E-05  0.325E-05
   34   0.321E-01 -0.138E+01 -0.452E-01  0.146E+01  0.465E-07  0.482E-08  0.321E-05  0.205E-05
   35   0.256E-01 -0.109E+01 -0.356E-01  0.115E+01  0.281E-07  0.265E-08  0.202E-05  0.128E-05
   36   0.203E-01 -0.862E+00 -0.280E-01  0.906E+00  0.160E-07  0.147E-08  0.126E-05  0.803E-06
   37   0.161E-01 -0.680E+00 -0.220E-01  0.712E+00  0.946E-08  0.809E-09  0.788E-06  0.501E-06
   38   0.128E-01 -0.535E+00 -0.173E-01  0.559E+00  0.436E-08  0.456E-09  0.491E-06  0.312E-06
   39   0.101E-01 -0.421E+00 -0.136E-01  0.439E+00  0.182E-08  0.258E-09  0.305E-06  0.193E-06
   40   0.798E-02 -0.331E+00 -0.106E-01  0.344E+00  0.000E+00  0.151E-09  0.189E-06  0.120E-06
   41   0.629E-02 -0.260E+00 -0.833E-02  0.270E+00  0.000E+00  0.190E-09  0.302E-06  0.192E-06
