  
 Model:
  LAYER     H(km)     Vp(km/s)    Vs(km/sec)  Density     QA(inv)     QB(inv)
    1     1.00000     1.65600     0.59500     1.55800     0.00000     0.00000
    2     1.00000     2.79100     1.23400     2.17100     0.00000     0.00000
    3     1.00000     3.36600     1.72900     2.28900     0.00000     0.00000
    4     1.00000     3.95900     2.24100     2.38700     0.00000     0.00000
    5     1.00000     4.18400     2.43500     2.41900     0.00000     0.00000
    6     1.00000     4.27200     2.50000     2.43100     0.00000     0.00000
    7     1.00000     4.52000     2.68300     2.46500     0.00000     0.00000
    8     1.00000     5.24200     3.14800     2.58200     0.00000     0.00000
    9     1.00000     5.95900     3.59500     2.70900     0.00000     0.00000
   10     1.00000     6.24600     3.77400     2.77200     0.00000     0.00000
   11     1.00000     6.41500     3.85000     2.81200     0.00000     0.00000
   12     1.00000     6.47400     3.82800     2.82700     0.00000     0.00000
   13     1.00000     6.52900     3.80400     2.84100     0.00000     0.00000
   14     1.00000     6.57800     3.78000     2.85300     0.00000     0.00000
   15     1.00000     6.63200     3.75700     2.86700     0.00000     0.00000
   16     1.00000     6.67800     3.77800     2.87900     0.00000     0.00000
   17     1.00000     6.63500     3.79200     2.86800     0.00000     0.00000
   18     1.00000     6.58400     3.78000     2.85400     0.00000     0.00000
   19     1.00000     6.59500     3.78600     2.85700     0.00000     0.00000
   20     1.00000     6.60900     3.79300     2.86100     0.00000     0.00000
   21     1.00000     6.62300     3.79800     2.86500     0.00000     0.00000
   22     1.00000     6.63100     3.79900     2.86700     0.00000     0.00000
   23     1.00000     6.63500     3.79700     2.86800     0.00000     0.00000
   24     1.00000     6.64100     3.79500     2.86900     0.00000     0.00000
   25     1.00000     6.64700     3.79100     2.87100     0.00000     0.00000
   26     1.00000     7.22800     4.14500     3.04700     0.00000     0.00000
   27     1.00000     7.80500     4.50200     3.22300     0.00000     0.00000
   28     1.00000     7.80500     4.50200     3.22300     0.00000     0.00000
   29     1.00000     7.80500     4.50200     3.22300     0.00000     0.00000
   30     1.00000     7.80500     4.50200     3.22300     0.00000     0.00000
   31     1.00000     7.80500     4.50200     3.22300     0.00000     0.00000
   32     1.00000     7.80500     4.50200     3.22300     0.00000     0.00000
   33     1.00000     7.80500     4.50200     3.22300     0.00000     0.00000
   34     1.00000     7.80400     4.50000     3.22300     0.00000     0.00000
   35     1.00000     7.80100     4.49400     3.22100     0.00000     0.00000
   36     1.00000     7.79700     4.48700     3.22000     0.00000     0.00000
   37     1.00000     7.79300     4.48100     3.21900     0.00000     0.00000
   38     1.00000     7.78900     4.47400     3.21700     0.00000     0.00000
   39     1.00000     7.78500     4.46800     3.21600     0.00000     0.00000
   40     1.00000     7.78200     4.46100     3.21500     0.00000     0.00000
   41     0.00000     7.78200     4.46100     3.21500     0.00000     0.00000


                      RAYLEIGH WAVE      MODE #  0
        T = 0.1000E+01 C =    0.5630E+00 U   = 0.5611E+00
        AR= 0.2644E+01 GAMMA= 0.9200E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.587E+00  0.000E+00  0.100E+01  0.000E+00 -0.187E-02  0.843E-02  0.926E+00 -0.199E-04
    2  -0.369E-02  0.285E+00  0.491E-02 -0.313E+00 -0.295E-11  0.388E-07  0.536E-04  0.142E-04
    3  -0.202E-06  0.316E-04  0.232E-06 -0.330E-04 -0.245E-20  0.519E-16  0.200E-12  0.733E-13
    4  -0.512E-11  0.139E-08  0.563E-11 -0.144E-08 -0.488E-30  0.327E-25  0.165E-21  0.763E-22
    5  -0.123E-15  0.398E-13  0.132E-15 -0.406E-13  0.000E+00  0.109E-34  0.102E-30  0.506E-31
    6  -0.279E-20  0.956E-18  0.296E-20 -0.970E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    7  -0.552E-25  0.220E-22  0.580E-25 -0.223E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    8  -0.878E-30  0.505E-27  0.919E-30 -0.512E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    9  -0.137E-34  0.108E-31  0.143E-34 -0.109E-31  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   10   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   11   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   12   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   13   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   14   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   15   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   16   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   17   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   18   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   19   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
