 RMODE NFREQ    PERIOD(S) FREQUENCY(Hz)  C(KM/S)      U(KM/S)      ENERGY       GAMMA(1/KM)  ELLIPTICITY
    0     1    1.0000       1.0000      0.56297      0.56111       2.6439      0.91998E-02  0.58736    
    0     2    1.2500      0.80000      0.56379      0.55699       2.1983      0.74107E-02  0.58601    
    0     3    1.5000      0.66667      0.56582      0.54910       1.9458      0.62597E-02  0.58287    
    0     4    1.7500      0.57143      0.56968      0.53663       1.8020      0.54843E-02  0.57719    
    0     5    2.0000      0.50000      0.57605      0.51895       1.7257      0.49554E-02  0.56827    
    0     6    2.2500      0.44444      0.58583      0.49547       1.6965      0.46051E-02  0.55526    
    0     7    2.5000      0.40000      0.60026      0.46563       1.7049      0.43992E-02  0.53704    
    0     8    2.7500      0.36364      0.62129      0.42904       1.7476      0.43260E-02  0.51179    
    0     9    3.0000      0.33333      0.65220      0.38569       1.8243      0.43919E-02  0.47629    
    0    10    3.2500      0.30769      0.69886      0.33710       1.9297      0.46121E-02  0.42434    
    0    11    3.5000      0.28571      0.77199      0.29000       2.0167      0.49465E-02  0.34326    
    0    12    3.7500      0.26667      0.88653      0.26607       1.8900      0.50127E-02  0.20848    
    0    13    4.0000      0.25000       1.0385      0.30484       1.3536      0.41321E-02 -0.12118E-01
    0    14    4.2500      0.23529       1.1817      0.42775      0.75443      0.28266E-02 -0.34002    
    0    15    4.5000      0.22222       1.2834      0.59603      0.38087      0.19307E-02 -0.75323    
    0    16    4.7500      0.21053       1.3547      0.72302      0.20542      0.14886E-02  -1.1815    
    0    17    5.0000      0.20000       1.4129      0.79465      0.12352      0.12629E-02  -1.5929    
    0    18    5.2500      0.19048       1.4667      0.83481      0.80226E-01  0.11249E-02  -1.9932    
    0    19    5.5000      0.18182       1.5197      0.85988      0.54476E-01  0.10261E-02  -2.3977    
    0    20    5.7500      0.17391       1.5733      0.87789      0.37818E-01  0.94729E-03  -2.8235    
    0    21    6.0000      0.16667       1.6285      0.89266      0.26452E-01  0.88017E-03  -3.2885    
    0    22    6.2500      0.16000       1.6856      0.90612      0.18450E-01  0.82058E-03  -3.8136    
    0    23    6.5000      0.15385       1.7448      0.91944      0.12731E-01  0.76623E-03  -4.4248    
    0    24    6.7500      0.14815       1.8063      0.93358      0.86257E-02  0.71557E-03  -5.1578    
    0    25    7.0000      0.14286       1.8701      0.94960      0.56927E-02  0.66746E-03  -6.0653    
    0    26    7.2500      0.13793       1.9361      0.96876      0.36227E-02  0.62096E-03  -7.2302    
    0    27    7.5000      0.13333       2.0037      0.99255      0.21919E-02  0.57538E-03  -8.7955    
    0    28    7.7500      0.12903       2.0723       1.0225      0.12344E-02  0.53042E-03  -11.031    
    0    29    8.0000      0.12500       2.1411       1.0599      0.62421E-03  0.48619E-03  -14.521    
    0    30    8.2500      0.12121       2.2091       1.1055      0.26379E-03  0.44326E-03  -20.797    
    0    31    8.5000      0.11765       2.2751       1.1593      0.77343E-04  0.40246E-03  -35.593    
    0    32    8.7500      0.11429       2.3382       1.2205      0.63814E-05  0.36466E-03  -114.42    
    0    33    9.0000      0.11111       2.3979       1.2875      0.71876E-05  0.33054E-03   99.350    
    0    34    9.2500      0.10811       2.4537       1.3581      0.48630E-04  0.30043E-03   35.172    
    0    35    9.5000      0.10526       2.5055       1.4302      0.10982E-03  0.27433E-03   21.568    
    0    36    9.7500      0.10256       2.5535       1.5017      0.17770E-03  0.25198E-03   15.652    
    0    37    10.000      0.10000       2.5979       1.5710      0.24473E-03  0.23298E-03   12.344    
